line,station,service_start,service_end
Line 2 Bloor–Danforth,Bathurst,2014,
Line 2 Bloor–Danforth,Bay,2014,
Line 4 Sheppard,Bayview,2014,
Line 4 Sheppard,Bessarion,2014,
Line 1 Yonge–University,Bloor–Yonge,2014,
Line 2 Bloor–Danforth,Bloor–Yonge,2014,
Line 2 Bloor–Danforth,Broadview,2014,
Line 2 Bloor–Danforth,Castle Frank,2014,
Line 2 Bloor–Danforth,Chester,2014,
Line 2 Bloor–Danforth,Christie,2014,
Line 1 Yonge–University,College,2014,
Line 2 Bloor–Danforth,Coxwell,2014,
Line 1 Yonge–University,Davisville,2014,
Line 4 Sheppard,Don Mills,2014,
Line 2 Bloor–Danforth,Donlands,2014,
Line 1 Yonge–University,Downsview,2014,
Line 1 Yonge–University,Downsview Park,2017,
Line 2 Bloor–Danforth,Dufferin,2014,
Line 1 Yonge–University,Dundas,2014,
Line 2 Bloor–Danforth,Dundas West,2014,
Line 1 Yonge–University,Dupont,2014,
Line 1 Yonge–University,Eglinton,2014,
Line 1 Yonge–University,Eglinton West,2014,
Line 3 Scarborough,Ellesmere,2014,2023
Line 1 Yonge–University,Finch,2014,
Line 1 Yonge–University,Finch West,2017,
Line 1 Yonge–University,Glencairn,2014,
Line 2 Bloor–Danforth,Greenwood,2014,
Line 2 Bloor–Danforth,High Park,2014,
Line 1 Yonge–University,Highway 407,2017,
Line 2 Bloor–Danforth,Islington,2014,
Line 2 Bloor–Danforth,Jane,2014,
Line 2 Bloor–Danforth,Keele,2014,
Line 2 Bloor–Danforth,Kennedy,2014,
Line 3 Scarborough,Kennedy,2014,2023
Line 1 Yonge–University,King,2014,
Line 2 Bloor–Danforth,Kipling,2014,
Line 2 Bloor–Danforth,Lansdowne,2014,
Line 1 Yonge–University,Lawrence,2014,
Line 3 Scarborough,Lawrence East,2014,2023
Line 1 Yonge–University,Lawrence West,2014,
Line 4 Sheppard,Leslie,2014,
Line 2 Bloor–Danforth,Main Street,2014,
Line 3 Scarborough,McCowan,2014,2023
Line 3 Scarborough,Midland,2014,2023
Line 1 Yonge–University,Museum,2014,
Line 1 Yonge–University,North York Centre,2014,
Line 2 Bloor–Danforth,Old Mill,2014,
Line 1 Yonge–University,Osgoode,2014,
Line 2 Bloor–Danforth,Ossington,2014,
Line 2 Bloor–Danforth,Pape,2014,
Line 1 Yonge–University,Pioneer Village,2017,
Line 1 Yonge–University,Queen,2014,
Line 1 Yonge–University,Queen's Park,2014,
Line 1 Yonge–University,Rosedale,2014,
Line 2 Bloor–Danforth,Royal York,2014,
Line 2 Bloor–Danforth,Runnymede,2014,
Line 3 Scarborough,Scarborough Centre,2014,2023
Line 1 Yonge–University,Sheppard–Yonge,2014,
Line 4 Sheppard,Sheppard–Yonge,2014,
Line 2 Bloor–Danforth,Sherbourne,2014,
Line 1 Yonge–University,Spadina,2014,
Line 2 Bloor–Danforth,Spadina,2014,
Line 1 Yonge–University,St. Andrew,2014,
Line 1 Yonge–University,St. Clair,2014,
Line 1 Yonge–University,St. Clair West,2014,
Line 1 Yonge–University,St. George,2014,
Line 2 Bloor–Danforth,St. George,2014,
Line 1 Yonge–University,St. Patrick,2014,
Line 1 Yonge–University,Summerhill,2014,
Line 1 Yonge–University,Union,2014,
Line 1 Yonge–University,Vaughan Metropolitan Centre,2017,
Line 2 Bloor–Danforth,Victoria Park,2014,
Line 2 Bloor–Danforth,Warden,2014,
Line 1 Yonge–University,Wellesley,2014,
Line 1 Yonge–University,Wilson,2014,
Line 2 Bloor–Danforth,Woodbine,2014,
Line 1 Yonge–University,York Mills,2014,
Line 1 Yonge–University,York University,2017,
Line 1 Yonge–University,Yorkdale,2014,
